0,0
0.01,8.99181832903934e-106
0.02,4.04579547447e-90
0.03,5.7987903119716e-81
0.04,1.81857352211417e-74
0.05,1.98893959291799e-69
0.06,2.60379674580701e-65
0.07,7.87755061276429e-62
0.08,8.15668318357287e-59
0.09,3.72370873841346e-56
0.1,8.91016286283187e-54
0.11,1.26419732116426e-51
0.12,1.16497996965051e-49
0.13,7.47196607152558e-48
0.14,3.51976322324392e-46
0.15,1.27076083143062e-44
0.16,3.63921350121597e-43
0.17,8.50255303819103e-42
0.18,1.6588196807848e-40
0.19,2.75566014314988e-39
0.2,3.96271834042418e-38
0.21,5.00284227119545e-37
0.22,5.61251404685849e-36
0.23,5.65423700279039e-35
0.24,5.16229670081057e-34
0.25,4.30579597951269e-33
0.26,3.30433292489303e-32
0.27,2.34781336219092e-31
0.28,1.55318899383756e-30
0.29,9.61482457868824e-30
0.3,5.59459542664841e-29
0.31,3.07232968866284e-28
0.32,1.59820453351898e-27
0.33,7.90148328319071e-27
0.34,3.72403058928365e-26
0.35,1.67783077401995e-25
0.36,7.24458611219451e-25
0.37,3.00482446808913e-24
0.38,1.19975725909468e-23
0.39,4.62053763838814e-23
0.4,1.71952052916491e-22
0.41,6.19398341213849e-22
0.42,2.16301478886091e-21
0.43,7.33341945695833e-21
0.44,2.41712005179379e-20
0.45,7.75500027305616e-20
0.46,2.42475696440308e-19
0.47,7.39665010470087e-19
0.48,2.20358390556949e-18
0.49,6.41757543285548e-18
0.5,1.82874316834109e-17
0.51,5.10322277974157e-17
0.52,1.39570687643566e-16
0.53,3.7439435754222e-16
0.54,9.85731066417806e-16
0.55,2.54901778891858e-15
0.56,6.47809758548041e-15
0.57,1.61898209609484e-14
0.58,3.98109097136273e-14
0.59,9.63740076424197e-14
0.6,2.29792203811511e-13
0.61,5.399285197481e-13
0.62,1.25071924005016e-12
0.63,2.85754104071101e-12
0.64,6.44185219751746e-12
0.65,1.43344733888082e-11
0.66,3.14965832611508e-11
0.67,6.83604883067749e-11
0.68,1.46604654103224e-10
0.69,3.10759164768077e-10
0.7,6.51266004386764e-10
0.71,1.34979537150171e-09
0.72,2.76733311639125e-09
0.73,5.613580117335e-09
0.74,1.12692840858303e-08
0.75,2.2393154013118e-08
0.76,4.40527134728797e-08
0.77,8.58094641177077e-08
0.78,1.65523446812179e-07
0.79,3.16221470554276e-07
0.8,5.98362127093798e-07
0.81,1.12149457849589e-06
0.82,2.0820628605208e-06
0.83,3.82858482547096e-06
0.84,6.97255519187912e-06
0.85,1.25744470779026e-05
0.86,2.24506812137885e-05
0.87,3.96709843364494e-05
0.88,6.93469512946277e-05
0.89,0.000119849943238189
0.9,0.000204631356806455
0.91,0.000344829721479843
0.92,0.000572794662019922
0.93,0.000936466998141452
0.94,0.00150413587918433
0.95,0.00236838277649644
0.96,0.00364709635369041
0.97,0.00547870073264189
0.98,0.00800900133152839
0.99,0.0113692540445434
1,0.0156493090226668
1.01,0.0208741486867103
1.02,0.0269934019893248
1.03,0.0338891517829028
1.04,0.0413993499558253
1.05,0.0493476344362562
1.06,0.0575693725584418
1.07,0.0659278362888911
1.08,0.0743198334116888
1.09,0.0826736721789536
1.1,0.0909432411523418
1.11,0.0991011814380156
1.12,0.107132834922259
1.13,0.115031593765099
1.14,0.122795652519915
1.15,0.130425897789893
1.16,0.137924616811799
1.17,0.145294749361745
1.18,0.152539477996417
1.19,0.15966201776959
1.2,0.166665517539536
1.21,0.173553020266894
1.22,0.180327452396019
1.23,0.186991626191293
1.24,0.193548246849936
1.25,0.199999920574117
1.26,0.206349162046514
1.27,0.212598400844849
1.28,0.218749986803776
1.29,0.224806194498607
1.3,0.23076922705247
1.31,0.236641219441652
1.32,0.242424241433156
1.33,0.248120300250453
1.34,0.253731343033343
1.35,0.259259259136088
1.36,0.264705882293155
1.37,0.270072992672117
1.38,0.275362318827082
1.39,0.28057553956207
1.4,0.285714285711412
1.41,0.290780141842675
1.42,0.295774647886748
1.43,0.300699300699049
1.44,0.305555555555447
1.45,0.310344827586161
1.46,0.315068493150666
1.47,0.319727891156455
1.48,0.324324324324321
1.49,0.328859060402683
1.5,0.333333333333333
1.51,0.337748344370861
1.52,0.342105263157895
1.53,0.34640522875817
1.54,0.350649350649351
1.55,0.354838709677419
1.56,0.358974358974359
1.57,0.363057324840764
1.58,0.367088607594937
1.59,0.371069182389937
1.6,0.375
1.61,0.37888198757764
1.62,0.382716049382716
1.63,0.386503067484663
1.64,0.390243902439024
1.65,0.393939393939394
1.66,0.397590361445783
1.67,0.401197604790419
1.68,0.404761904761905
1.69,0.408284023668639
1.7,0.411764705882353
1.71,0.415204678362573
1.72,0.418604651162791
1.73,0.421965317919075
1.74,0.425287356321839
1.75,0.428571428571429
1.76,0.431818181818182
1.77,0.435028248587571
1.78,0.438202247191011
1.79,0.441340782122905
1.8,0.444444444444444
1.81,0.447513812154696
1.82,0.450549450549451
1.83,0.453551912568306
1.84,0.456521739130435
1.85,0.45945945945946
1.86,0.462365591397849
1.87,0.46524064171123
1.88,0.468085106382979
1.89,0.470899470899471
1.9,0.473684210526316
1.91,0.476439790575916
1.92,0.479166666666667
1.93,0.481865284974093
1.94,0.484536082474227
1.95,0.487179487179487
1.96,0.489795918367347
1.97,0.49238578680203
1.98,0.494949494949495
1.99,0.49748743718593
2,0.5
2.01,0.502487562189055
2.02,0.504950495049505
2.03,0.507389162561576
2.04,0.509803921568628
2.05,0.512195121951219
2.06,0.514563106796116
2.07,0.516908212560387
2.08,0.519230769230769
2.09,0.521531100478469
2.1,0.523809523809524
